35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,4.5,4.5,2.25,2.25,1.125,1.125,0.5625,0.5625,0.28125,0.28125,0.140625,0.140625,0.0703125,0.0703125,0.03515625,0.03515625,0.017578125,0.017578125,0.008789063,0.008789063,0.004394531,0.004394531
12.96,-13.66,0.68,-18.34,-3.91,-25.31,3.45,-15.04,-4.47,-17.46,-2.95,-16.22,1.97,-16.15,-3.7,-12.66,-2,-21.63,-1.86,-13.54,2.25,-16.6,0,0,Pep258,ErbB2-pY735,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C
22.01,4.18,3.55,-3.83,2.45,-6.4,5.4,-2.92,0.13,-7.95,-1.52,-7.04,-0.36,0.16,5.62,-6.86,-1.43,-4.03,-3.33,-6.09,4.34,-3.24,0,0,Pep258,ErbB2-pY735,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C
18.78,55.44,4.31,18.39,-8.02,2.96,-4.44,2.35,-5,-6.03,-7.35,-2.66,-4.02,-13.97,-3.5,-13.03,-3.02,-4.09,-7.79,-9.38,-1.99,-15.35,0,0,Pep258,ErbB2-pY735,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A
7.71,10.65,-12.06,-4.56,-14.37,-7.63,-10.41,-8.24,-12.11,-4.79,-7.37,-15.97,-13.27,-13.29,-9.47,-16.12,-3.08,-8.91,-10.01,-13.2,-6.99,-12.25,0,0,Pep258,ErbB2-pY735,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC
12.55,6.59,-3.67,-7.52,-11.54,-14.43,-10.65,-8.07,-5.47,-12.26,-8.96,-6.99,-16.51,-19.53,-6.72,-14.69,-6.59,-15.22,-10.63,-16.38,-5.97,-17.35,0,0,Pep258,ErbB2-pY735,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC
11.81,14.8,-4.85,2.71,-9.3,-12.51,-9.76,-16.39,-6.4,-15.44,-10.81,-16.69,-16,-10.93,-11.7,-18.72,-8.33,-19.16,-7.61,-15.45,-6.06,-18.21,0,0,Pep258,ErbB2-pY735,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.97,8.46,-8.99,-0.2,-2.73,-14.05,-7.25,-5.35,-9.39,-4.68,-8.38,-9.31,-11.39,-7.92,-6.12,-20.31,-1.59,-11.2,-9.19,2.76,-2.57,-37.08,0,0,Pep258,ErbB2-pY735,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC
0.65,15.21,-9.57,-2.2,-8.71,0.32,-18.78,-7.46,-7.23,-5.74,-13.84,-5.05,-7.55,-9.3,-8.68,-4.7,-9.1,-7.49,-3.88,0.18,-8.69,-5.13,0,0,Pep258,ErbB2-pY735,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC
19.82,103.49,10.32,96.52,4.45,88.74,-2.49,89.73,1.65,87.17,4.04,80.66,3.22,67.05,6.6,42,-3.42,21.02,2.49,3.44,4.79,0.06,0,0,Pep258,ErbB2-pY735,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B
24.85,24.95,7.17,10.55,16.95,3.1,7.18,-1.04,4.68,2.36,1.79,-0.83,2.26,-4.38,0.01,-3.09,-3.22,-4.08,1.36,-3.28,7.86,3.73,0,0,Pep258,ErbB2-pY735,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C
23.92,20.14,5.74,2.67,-2.74,-1.41,-3.56,-2.39,-0.4,3.45,-0.29,-2.27,-0.16,-1.26,1.74,-2.71,1.17,-6.07,-0.28,-2.46,1.36,-2.72,0,0,Pep258,ErbB2-pY735,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N
5.61,15.81,-4.63,-5.67,-4.33,-5.81,-4.62,-5.07,4.75,-3.96,-8.62,-4.28,-2.6,-1.52,-7.75,-8.49,-7.3,-2.27,-1.83,-3.17,-2.27,-2.18,0,0,Pep258,ErbB2-pY735,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC
2.69,12.01,-5.11,2.85,-2.49,2.5,-8.81,5.88,-6.41,6.97,-6.25,1.44,-5.3,5.51,-5.68,3.12,-8.99,6.52,-8.36,6.09,-6.74,10.34,0,0,Pep258,ErbB2-pY735,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC
80.27,0.05,61.25,-6.93,39.01,-11.96,22.24,-8.1,17,-4.25,2.35,-1.49,-2.94,-7,-6.04,-5.82,-7.82,-5.99,-0.26,-4.33,2.57,-7.06,0,0,Pep258,ErbB2-pY735,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N
