35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,4.5,4.5,2.25,2.25,1.125,1.125,0.5625,0.5625,0.28125,0.28125,0.140625,0.140625,0.0703125,0.0703125,0.03515625,0.03515625,0.017578125,0.017578125,0.008789063,0.008789063,0.004394531,0.004394531
30.84,103.84,15.26,77.04,4.4,51.82,-0.37,28.58,-3.61,10.16,-6.66,5.37,-7.51,1.31,-5.32,-0.47,0.72,-2.3,-3.24,-2.35,-6.13,-2.32,0,0,Pep415,ErbB1-pY900,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A
13.71,53.44,2.72,39.67,-2.46,24.89,4.01,10.37,-4.03,-0.69,-5.2,6.95,-1.69,3.19,-4.53,-0.27,-3.1,0.63,-2.66,-5.34,-0.62,2.59,0,0,Pep415,ErbB1-pY900,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC
25.3,42.1,15.11,13.65,10.1,11.37,1.37,11.09,0.39,1.91,0.12,-1.67,-4.52,2.97,-4.53,-0.15,-0.76,-1.24,-2.5,-0.1,-2.46,-7.58,0,0,Pep415,ErbB1-pY900,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC
12.28,60.73,7.83,44.73,10,34.29,7.34,18.41,5.5,15.45,6.29,8.6,2.51,-0.46,4.2,1.28,5.13,0.19,-0.99,-3.07,4.63,5.35,0,0,Pep415,ErbB1-pY900,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.1,-18.76,-7.34,-44.97,-10.21,-30.09,-13.08,-40.93,-16.23,-44.64,-17.34,-33.76,-15.62,-42.11,-14.9,-40.16,-14.43,-35.11,-13.48,-30.72,-5.73,-31.1,0,0,Pep460,ErbB1-pY915,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC
10.86,7.49,-8.86,-7.06,-11.33,-18.12,-5.22,-16.01,-6.84,-14.02,-9.52,-20.47,-12.33,-19.68,-11.89,-14.34,-4.23,-24.93,-3.75,-16.72,-7.95,-18.3,0,0,Pep460,ErbB1-pY915,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC
16.47,5.62,1.87,-4.43,-0.55,-10.05,-6.46,-7.88,-10.32,-1.84,-7.51,-8.46,-3.41,-6.62,-5.9,-5.46,-3.12,-7.29,-5.38,-29.14,-2.15,-0.97,0,0,Pep460,ErbB1-pY915,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B
7.09,28.19,0.86,14.49,-4.19,-2.92,-10.29,1.33,-1.83,-0.77,-3.87,-2.75,-2.68,-4.3,-1.28,-6.38,-2.53,-8.44,-3.89,-5.21,-6.72,-6.01,0,0,Pep460,ErbB1-pY915,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C
19.24,26.7,1.55,17.34,-9.41,5.83,-13.97,2.27,-7.96,4.49,-9.11,3.61,-8.83,1.67,-12.02,2.16,-6.69,2.75,-5.88,3.28,-7.38,1.63,0,0,Pep460,ErbB1-pY915,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N
19.5,-6.61,5.63,-8.43,0.79,-7.65,1.57,-4.95,2.13,-4.58,-1.38,-6.99,-7.17,-5.39,0.34,-3.25,-0.88,-9.21,-0.3,-11.04,-1.32,-2.06,0,0,Pep460,ErbB1-pY915,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC
26.51,-1.74,6.52,-10.51,-1.42,-12.53,-3.07,-11.15,-1.37,-4.17,-3.43,-8.64,0.33,-9.35,-2.13,-7.55,-2.97,-6.55,-6.36,-11.08,-0.78,-4.8,0,0,Pep460,ErbB1-pY915,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC
3.06,-1.29,-8.05,0,-5.22,-8.14,-6.62,-6.57,-5.76,-0.12,-3.34,-4.89,-4.12,-7.35,-3.18,-8.47,-4.1,-3.52,-1.02,-12.06,-6,0.66,0,0,Pep460,ErbB1-pY915,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N
11.36,17.83,-5.09,7.1,-7.58,0.93,-10.71,-7.2,-5.52,4.84,-9.16,2.82,-9.7,-0.47,-4.21,1.17,-7.38,-3.88,-3.07,-4.53,-3.31,0.81,0,0,Pep460,ErbB1-pY915,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N 
12.67,33.93,-6.32,19.24,-4.72,3.99,-6.03,0.15,0.56,3.79,0.58,1.5,2.5,-3,-4.27,-3.1,2.03,-2.28,2.02,-0.48,-0.3,-3.2,0,0,Pep460,ErbB1-pY915,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK
19.98,4.71,19.29,1.1,14.94,-1.44,16.76,-4.01,18.26,-0.34,18.3,1.36,23.17,1.92,23.14,2.25,20.31,2.22,21.99,4.84,22.63,6.63,0,0,Pep460,ErbB1-pY915,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C
36.79,6.22,8.44,3.71,7.2,2.61,1.6,0.99,4.79,8.85,6.4,3.03,7.61,8.68,5.77,4.14,3.93,5.52,7.48,1.76,6.51,2.89,0,0,Pep460,ErbB1-pY915,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C
-2.44,179.32,-6.62,146.04,-9.09,99.28,-7.16,68.76,-4.19,34.76,-11.12,21.88,-8.45,14.53,-1.87,8.24,-2.3,0.82,-10.82,7.62,-5.63,0.91,0,0,Pep460,ErbB1-pY915,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A
-13.09,-4.09,-8.08,-11.07,-10.16,-14.18,-9.5,-12.83,-11.86,-13.77,-11.03,-11.6,-6.43,-11.45,-11.02,-12.75,-7.96,-13.82,-9.9,-13.4,-11.82,-11.24,0,0,Pep460,ErbB1-pY915,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC
-3.48,17.62,5.86,6.02,-4.8,3.02,-15.65,-1.16,-11.96,6,-9.61,5.28,-8,4.41,-11.62,-5.92,-6.12,-3.78,-4.99,-0.08,-10.42,-5.2,0,0,Pep460,ErbB1-pY915,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC
0.94,14.85,-11.68,14.82,-7.25,9.06,-20.77,-0.71,-16.43,-8.46,-11.52,-7.43,-5.81,-3.09,-11.12,-9.27,-13.81,-10.42,-12.96,-11.78,-13.24,-2.22,0,0,Pep460,ErbB1-pY915,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.01,4.09,4.16,-7.03,-0.62,-7.72,-6.65,-14.57,0.93,-10.29,-3.24,-10.85,0.29,-12.83,3.22,-4.28,-0.52,-17.95,1.25,-10.34,-0.22,-12.81,0,0,Pep460,ErbB1-pY915,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC
-7.12,7.05,-5.49,-9.3,-14.47,-11.19,-5.55,-15.52,-11.64,-17.64,-16.44,-13.57,-10.16,-14.52,-9.34,-14.05,-11.73,-15.68,-4.63,-15.43,-6.87,-16.43,0,0,Pep460,ErbB1-pY915,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC
12.78,8.53,5.96,0.17,1.44,-2.79,4.55,0.92,-3.8,0.67,1.64,0.18,6.32,1.56,9.26,1.45,-0.25,-4.13,6.27,-4.11,5.47,-1.49,0,0,Pep460,ErbB1-pY915,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B
11.18,18.3,-4.16,3.99,-1.65,-5.82,0.05,-4.84,0.51,-6.39,3.71,-6.72,-0.92,-7.5,3.44,-5.82,3.51,-7.13,3.76,-6.77,0.03,-7.52,0,0,Pep460,ErbB1-pY915,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C
12.18,15.32,2.37,1.57,-10.25,-3.11,-11.01,-5.88,-3.06,-7.98,-1.81,-3.82,4.05,-8.47,-3.22,-9.65,4.54,-9.47,0,-8.08,-2.32,-2.93,0,0,Pep460,ErbB1-pY915,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N
6.99,-2.49,-9.48,-5.73,-5.2,-8.99,-3.24,-5.6,-10.06,-5.71,-5.08,-10.13,-8.45,-14.1,-10.5,-7.57,-5.94,-7.54,-12.64,-8.01,-9.13,-1.63,0,0,Pep460,ErbB1-pY915,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC
6.86,1.56,-5.13,0.5,-6.56,5.78,-13.64,-4.11,-11.41,0.85,-11.2,-4.56,-11.89,-5.32,-2.98,-4.04,-11.54,-1.42,-6.01,-0.81,-5.78,5.01,0,0,Pep460,ErbB1-pY915,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC
-7.61,-9.85,-12.67,-12.08,-0.94,-11.57,-7.71,-8.92,-9.05,-10.79,-4.68,-4.41,-7.47,-13.2,-4.61,-7.71,-5.13,-8.45,-3.72,-13,-11.27,-8.56,0,0,Pep460,ErbB1-pY915,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N
-4.96,10.65,-8.02,3.19,-9.47,3.3,-10.65,-4.47,-7.19,4.15,-11.01,1.95,-12.03,4.24,-2.89,2.22,-6.64,-0.81,-10.42,-1.45,-8.23,-3.48,0,0,Pep460,ErbB1-pY915,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N 
-2.38,10.93,-7.46,-9.08,-13.15,-12.13,-9.88,-18.61,-3.04,-17.48,-7.56,-14.47,-0.71,-18.87,-8.46,-14.02,-1.66,-13.32,-1.29,-16.89,-7.86,-23.82,0,0,Pep460,ErbB1-pY915,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK,SHC1-PTB,LCK
28.2,13.66,31.88,5.63,31.67,10.86,28.08,4.24,27.55,11.28,28.41,9.28,30.38,8.19,32.77,13.14,32.87,9.06,31.71,11.52,29.53,6.65,0,0,Pep460,ErbB1-pY915,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C,SHB,PIK3R2-C
26.83,14.52,10.31,13.37,5.61,10.65,5.21,11.47,1.8,9.72,2.83,19.28,-5.31,12.7,-2.1,11.12,2.68,11.76,0.01,16.48,1.75,13.79,0,0,Pep460,ErbB1-pY915,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C,TNS4,PTPN6-C
-6.18,165.21,-11.61,114.31,-17.47,84.46,-12.63,47,-13.29,18.55,-14.07,8.42,-11.92,-4.55,-6.69,-5.5,-8.92,-11.93,-10.7,-8.27,-7.85,-15.5,0,0,Pep460,ErbB1-pY915,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A,SUPT6H,SH2D2A
0.65,-10.7,-1.95,-8.36,-10.52,-15.76,-1.07,-17.93,-8.54,-20.02,0.32,-15.93,-2.61,-11.29,-6.7,-19.05,-7.06,-14.36,-6.06,-15.91,-6.99,-14.72,0,0,Pep460,ErbB1-pY915,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC,SH2D3C,PIK3R1-NC
3.8,-3.52,-2.71,-12.26,-4.78,-7.56,-9.67,-10.49,-3.96,-5.51,-8.85,-11.07,-9.96,-14.73,-6.61,-12.37,-6.64,-9.38,-4.86,-11.18,-13.35,-15.06,0,0,Pep460,ErbB1-pY915,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC,PIK3R3-N,RASA1-NC
-0.33,21.36,-3.18,7.23,-4.67,-1.26,-8.61,-5.22,-0.89,-4.5,4.65,-5.74,-2.29,-5.03,-5.06,-14.56,-7.88,-9.48,-4.36,-10.26,-4.73,0.64,0,0,Pep460,ErbB1-pY915,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC,ZAP70-N,PLCG1-NC
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.51,-1.04,-10.79,-13.62,-13.91,-17.66,-11.7,-29.18,-7.38,-22.86,-15.04,-29.8,-15.15,-18.06,-7.46,-13.45,-8.64,-16.84,-3.87,-12,-2.82,-13.25,0,0,Pep471,ErbB1-pY1110,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC,FES,PIK3R3-NC
48.71,-6.24,15.69,-13.7,4.49,-10.99,1.56,-22.75,2.61,-19.64,-6.02,-17.52,0.55,-16.72,5.31,-14.83,0.61,-13.79,-1.36,-14.47,0.36,-12.32,0,0,Pep471,ErbB1-pY1110,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC,SHC2-PTB,ZAP70-NC
28.88,10.54,4.68,-40.18,0.13,-4.49,-1.01,-8.36,-0.87,-2.62,-7.79,-3.71,-4.97,3.17,-1.1,0.55,-3.39,-4.08,3.48,-7.41,-1.71,-5.66,0,0,Pep471,ErbB1-pY1110,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B,PLCG2-NC,SH2D1B
13.82,12.31,-2.42,7.07,-7.66,0.55,0.33,-5.51,0.86,-3.8,1.13,-8.9,5.93,-10.31,-2.41,-5.61,-5.16,-7.15,-0.95,-3.84,-0.01,-2.03,0,0,Pep471,ErbB1-pY1110,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C,BMX,PIK3R3-C
19.49,59.55,-2.54,39.92,-5.16,-18.57,-8.81,5.72,-6.92,1.71,-6.13,-2.05,-8.84,-1.21,-1.43,0,-4.86,-13.05,-7.51,-7.57,2.23,-2.87,0,0,Pep471,ErbB1-pY1110,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N,INPPL1,RASA1-N
36.77,-6.43,12.52,-9.91,11.12,-7.71,3.03,-12.24,3.73,-11.25,5.65,-8.92,-2.74,-9.07,-3.29,-8.92,-2.07,-9.01,-0.23,-11.92,-2.59,-2.81,0,0,Pep471,ErbB1-pY1110,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC,ABL2,PTPN6-NC
20.97,4.44,1.85,1.99,-0.86,-2.07,-1.11,-3.27,-0.43,0.89,-8.3,-3.98,-4.56,-4.4,-3.92,-0.85,0.94,2.17,3.42,-2.32,-6.3,-3.09,0,0,Pep471,ErbB1-pY1110,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC,PTK6,PIK3R2-NC
13.66,-6,-4.72,-12.88,-1.32,-11.53,2.18,-5.5,-1.47,0.2,2.68,-5.68,-0.36,-4.67,-3.64,1.89,-0.33,-7.02,-0.89,-3.24,-0.31,-6.3,0,0,Pep471,ErbB1-pY1110,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N,SYK-NC,SYK-N
-8.62,5.65,-2.28,0.24,-5.03,-4.56,-6.73,-5.06,-0.66,4.83,4.55,-0.09,-1.27,-5.31,-3.54,-1.4,3.52,-3.47,-0.14,0.3,-0.81,-2.11,0,0,Pep471,ErbB1-pY1110,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N ,GRB10,PIK3R2-N 
