274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,0.002441406,0.002441406,
145.54,131.32,147.46,143.22,141.06,141.75,140.48,142.68,140.2,141.49,144.68,136.02,140.66,142.75,139.02,140.25,149.14,136.7,145.06,145.97,143.14,148.83,146.41,131.05,Pep95,ErbB4-pY875-18mer,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,
113.36,120.55,145.52,140.5,132.56,139.37,146,140.69,121.94,135.35,147.83,142.34,140.47,138.87,140.06,143.31,152.37,147.39,134.86,146.83,142.85,134.12,143.47,137.45,Pep95,ErbB4-pY875-18mer,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,
129.02,130.93,137.32,142.56,144,141.78,144.68,146.22,136.66,144.98,142.99,140.52,141.95,136.33,143.32,139.81,136.97,139.49,144.31,134.69,137.69,138.53,143.6,131.69,Pep95,ErbB4-pY875-18mer,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,
123.35,141.8,154.78,139.06,140.39,135.81,139.34,144.43,137.46,135.88,143.66,141.53,146.16,144.76,148.3,141.54,142.99,145.76,147.14,132.06,139.5,145.11,149.98,145.19,Pep95,ErbB4-pY875-18mer,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,
146.43,136.19,142.34,135.4,147.21,150.8,137.38,140.5,147.84,145.42,136.62,144.16,145.21,141.99,144.98,144.8,138.97,148.65,144.21,142.01,142.17,143.64,154.82,128.04,Pep95,ErbB4-pY875-18mer,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,
149.1,150.08,138.7,141.65,153.5,145.37,143.96,146.47,144.06,144.89,147.35,137.3,145.57,150.53,144.69,146.04,147.6,141.79,139.68,141.77,138.81,140.14,149.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149.68,144.69,151.09,141.31,140.29,146.29,154.98,145.03,148.68,146.19,141.75,135.61,147.68,144.72,156.22,154.77,151.47,157.2,154.08,152.34,156.61,153.86,157.6,151.91,Pep98,ErbB4-pY984-18mer,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,
145.15,146.05,142.83,143.69,146.3,136.51,151.56,150.81,154.28,148.06,142.97,146.13,135.8,143.85,149.83,149.15,150.44,150.4,149.27,151.38,145.08,154.21,156.06,150.39,Pep98,ErbB4-pY984-18mer,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,
154.43,131.88,155.56,141.54,143.59,141.09,151.74,146.73,152.81,151.04,145.44,147.22,145.38,144.57,144.48,146.93,148.35,151.65,142.86,145.61,157.34,156.11,157.3,146.5,Pep98,ErbB4-pY984-18mer,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,
145.58,151.88,151.29,144.64,145.2,148.29,138.93,149.49,146.34,149.89,149.47,147.57,145.96,139.67,152.98,154.22,151.64,149.12,145.77,144.08,145.11,146.71,143.55,147.68,Pep98,ErbB4-pY984-18mer,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,
