274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,0.002441406,0.002441406,
174.71,160.43,169.19,168.84,161.51,164.06,161.4,165.05,161.42,165.95,169.9,174.43,168.06,171.92,159.83,167.05,165.07,161.94,171.95,169.3,165.35,168.17,163.35,172.06,Pep254,ErbB4-pY1081,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,
162.26,177.3,175.38,168.4,165,148.65,164.78,170.98,169.83,177.4,167.67,164.11,162.58,174.46,165.29,170.29,166.07,161.64,162.33,163.16,164.19,165.73,162.75,167.82,Pep254,ErbB4-pY1081,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,
172.97,152.07,160.6,160.15,165.88,162.43,165.12,163.39,167.15,169.69,154.62,166.63,173.24,169.12,162.83,171.71,168.99,164.5,169.74,162.41,174.43,169.14,174.71,172.74,Pep254,ErbB4-pY1081,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,
145.54,149.11,158.15,154.35,171.62,156.27,164.42,164.15,166.74,166.45,159.89,166.08,173.66,174.92,172.25,164.5,167.17,164.83,170.64,169.01,162.66,168.37,169.89,151.93,Pep254,ErbB4-pY1081,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,
160.96,150.78,169.31,171.04,172.25,165.95,164.41,172.76,169.65,165.85,168.18,161.88,165.84,172.06,171.38,159.37,167.63,165.93,165.29,171.14,172.66,170.29,167.63,171.05,Pep254,ErbB4-pY1081,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,
156.38,156.36,166.05,165.54,152.01,163.05,167.63,168.69,170.29,164,156.32,166.39,166.64,169.42,161.79,168.03,170.94,172.82,166.57,162.23,169.49,160.47,162.42,172.54,Pep254,ErbB4-pY1081,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,
161.99,168.5,167.02,168.97,168.55,175.94,162.81,170.22,162.19,168.28,169.12,173.19,163.79,162.83,167.83,159.53,171.3,162.65,172.65,173.11,169.21,161.14,168.23,171.92,Pep254,ErbB4-pY1081,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,
158.27,170.42,174.06,161.88,172.12,164.96,173.35,161.69,169.12,168.22,154.98,171.37,168.64,162.71,171.05,168.33,159.4,161.75,168.58,161,168.67,169.33,166.87,154.79,Pep254,ErbB4-pY1081,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,
154.95,164.34,176.4,167.79,176.56,163.54,165.79,165.8,162.41,153.6,166.84,164.54,166.6,167.59,167.1,171.17,169.56,172.59,178.09,164.96,161.46,161.79,171.79,167.51,Pep254,ErbB4-pY1081,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,
170.24,167.85,169.53,167.04,157.89,168.06,170.83,174.59,166.75,165.19,178.27,175.46,177.18,162.88,170.76,169.08,174.41,173.5,173.33,172.41,173.96,175.08,170.42,154.42,Pep254,ErbB4-pY1081,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,
163.65,155.64,167.94,166.59,157,170.38,160.13,171.85,172.44,170.23,166.78,172.72,168.42,170.04,158.64,172.25,172.23,162.16,169.63,171.52,169.7,172.06,165.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164.7,178.21,164.41,177.1,166.05,166.64,166.08,164.38,171.64,174.18,164.03,170.43,156.64,174.9,174.98,164.26,162.03,165.89,174.75,165.56,177.44,179.24,183.63,188.25,Pep255,ErbB4-pY1128,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,
189.7,170.55,169.03,166.69,167.27,166.01,172.79,169.25,167.21,165.33,166.26,168.61,167.72,168.05,172.05,172.71,164.75,166.49,166.37,159.23,169.38,173.25,170.4,184.02,Pep255,ErbB4-pY1128,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,
166.09,164.54,161.17,159.56,155.88,158.94,162.96,157.25,156.15,161.75,159.18,166.12,162.49,159.32,156.1,167.62,173.65,163.15,158.58,168.92,155.08,166.08,171.73,179.6,Pep255,ErbB4-pY1128,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,
164.61,162.81,167.32,161.86,163.13,162.65,168.47,166.47,169.8,165.69,163.91,165.75,166.16,168.26,169.51,161.85,163.76,164.13,168.18,162.56,166.19,174.7,157.41,182.66,Pep255,ErbB4-pY1128,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,
165.84,164.03,152.47,165.7,164.5,161.16,163.21,158.59,154.28,166.33,164.98,162.78,170.63,163.57,163.31,171.16,161.81,161.06,162.92,164.36,164.46,167.9,171.87,182.26,Pep255,ErbB4-pY1128,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,
164.74,168.74,166.26,171.24,166.94,164.38,159.58,164.24,169.48,167.06,159.74,160.17,164.99,169.28,169.12,163.27,171.78,165.78,166.65,162.88,168.38,161.62,172.08,178.97,Pep255,ErbB4-pY1128,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,
165.45,157.04,156.53,160.83,157.2,160.32,150.16,162.25,161.03,162.86,164.08,156.73,162.13,169.33,161.32,161.93,155.59,165.58,156.38,167.46,170.2,167.39,175.14,173.77,Pep255,ErbB4-pY1128,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,
164.45,163.23,172.77,171.91,163.34,174.75,167.47,166.23,167.43,157.31,161.07,165.08,163.9,161.05,168.08,157.53,163.4,160.64,161.85,163.39,171,165.52,167,167,Pep255,ErbB4-pY1128,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,
158.71,162.33,156.94,156.49,150.06,160.28,163.29,159.09,158.57,160.82,156.09,167.75,162.63,159.83,165.04,164.15,172.68,170.96,168.82,163.58,159.25,167.71,167.98,185.14,Pep255,ErbB4-pY1128,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,
176.74,154.59,158.39,161.02,166.94,160.65,164.8,166.34,171.51,163.45,167.64,166.82,170.83,161.97,173.23,168.7,163.84,169.09,166.14,165.01,165.97,169.18,171.19,171.16,Pep255,ErbB4-pY1128,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,
158.72,163.18,153.13,165.23,159.07,161.13,147.4,164.6,161.5,164.45,165.14,161.27,159.06,158.22,165.88,159.01,167.8,156.84,170.85,165.99,154.67,173.03,163.66,185.73,Pep255,ErbB4-pY1128,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,
170.94,162.58,165.24,159.84,156.16,166.85,162.59,163.67,166.36,163.94,163.24,163.28,162.48,164.87,166.75,166.4,165.79,167.35,160.8,161.14,162.4,160.17,168.68,172.65,Pep255,ErbB4-pY1128,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,
163.89,158.05,162.51,169.07,161.63,161.73,153.76,162.56,157.73,160.65,153.93,159.29,164.47,160.26,163.28,160.72,165.52,167.49,157.09,168.81,162.61,168.07,166.24,177.98,Pep255,ErbB4-pY1128,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,
165.87,158.53,168.97,169.17,165,168.36,172.63,163.62,163.72,167.4,163.32,163.19,172.17,165.66,171.25,166.23,169.76,165.89,170.28,171.57,170.47,167.5,163.09,178.94,Pep255,ErbB4-pY1128,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,
158.19,154.26,165,162.39,162.49,172.76,155.55,166.65,165.36,166.25,158.79,165.52,157.98,161.52,174.09,175.99,156.11,170.62,163.75,163.71,158.69,164.31,171.8,175.63,Pep255,ErbB4-pY1128,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,
177.59,177.8,178.96,169.27,184.79,167.96,185.05,183.41,175.44,177.9,166.72,167.76,177.56,184.57,177.15,177.01,176.98,184.05,181.81,168.6,177.89,180.77,176.62,181.99,Pep255,ErbB4-pY1128,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,
162.81,167.32,161.86,163.13,162.65,168.47,166.47,169.8,165.69,163.91,165.75,166.16,168.26,169.51,161.85,163.76,164.13,168.18,162.56,166.19,174.7,157.41,182.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210.43,207.02,206.67,195.01,202.68,182.9,195.11,185.36,181.29,182.23,186.23,180.19,181.45,181.44,177.82,180.69,183.8,184.37,182.57,180.91,196.35,185.23,190.17,196.32,Pep256,ErbB4-pY1150,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,
197.3,249.56,184.72,213.5,187.59,206.98,172.39,195.1,174.35,189,180.43,182.81,182.28,175.94,179.74,182.03,182.99,183.74,182.07,184.39,178.92,182.62,185.29,189.11,Pep256,ErbB4-pY1150,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,
228.58,202.09,204.52,186.19,196.08,184.61,186.58,179.02,181.64,181.44,179.6,178.47,179.94,173.38,181.38,178.86,183.31,187.13,176.93,179.63,182.57,175.91,180.28,183.17,Pep256,ErbB4-pY1150,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,
194.62,174.91,183.4,176.07,175.18,182.58,176.27,177.4,183.05,177.69,183.59,178.89,183.64,176.11,182.85,182,180.1,179.69,183.53,181.67,183.47,175.19,182.07,176.22,Pep256,ErbB4-pY1150,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,
182.98,224.23,182.66,204.02,176.92,192.9,176.46,191.94,181.96,185.83,178.85,179.54,181.3,178.59,179.44,178.69,181.58,185.9,180.37,172.54,179.64,180.86,190.79,185.74,Pep256,ErbB4-pY1150,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,
202.51,179.95,190.41,177.3,181.49,179.69,183.93,175.28,184.15,187.56,180.61,177.83,179.13,182.16,176.58,184.5,184.24,188.86,183.67,180.03,185.04,185.79,186.53,186.44,Pep256,ErbB4-pY1150,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,
240.38,270.09,222.34,249.64,200.11,233.25,190,221.58,186.01,201.28,185.76,199.24,177.63,182.32,183.24,177.74,182.82,185.03,178.05,177.76,183.27,185.81,183.24,183.87,Pep256,ErbB4-pY1150,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,
204.95,178.19,194.94,176.85,180.14,179.9,177.3,179.65,180.05,179.15,175.65,183.03,185.66,179.5,184.61,175.67,182.23,182.26,178.19,180.86,184.51,182.76,182.12,173.98,Pep256,ErbB4-pY1150,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,
155.22,149.52,155.19,158.05,175.96,215.01,175.99,198.25,181.12,192.57,181.81,145.34,179.46,176.9,168.88,178.93,185.97,180.03,176.68,178.6,180.07,178.3,183.1,182.02,Pep256,ErbB4-pY1150,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,
186.66,157.38,157.39,151.92,176.94,181.1,184.34,185.08,181.75,181.4,184.66,183.45,184.59,175.95,177.08,178.34,184.09,179.54,175.58,180.41,175.14,180.65,180.56,185.42,Pep256,ErbB4-pY1150,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,
188.25,148.6,177.7,178.06,177.77,182.36,184.79,180.3,180.68,177.68,179.34,177.75,180.59,184.45,173.1,179.13,182.78,169.46,178.2,180.09,172.67,181.6,182.79,189.28,Pep256,ErbB4-pY1150,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,NCK1,PTPN11-NC,
226.7,175.85,205.52,176.53,183.83,173.66,191.48,180.41,173.63,176.75,179.07,181.52,178.55,181.42,178.94,179.67,175.05,184.38,177.29,186.45,182.6,172.6,185.4,170.07,Pep256,ErbB4-pY1150,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,PLCG1-C,GRAP2,
162.26,157.71,179.23,185.18,180.52,181.71,181.56,183.22,184.33,178.09,179.62,172.95,177.67,180.21,178.91,177.16,184.16,174.28,179.16,179.36,183.6,178.87,178.8,186.2,Pep256,ErbB4-pY1150,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,TEC,LYN,
162.53,216.12,180.95,197.02,180.2,192.89,185.51,184.33,150.92,169.01,178.83,177.3,174.82,188.83,178.19,178.16,186.14,174.62,185.24,178.53,181.3,182.11,185.27,180.96,Pep256,ErbB4-pY1150,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,
177.73,276.9,182.27,243.23,177.4,199.81,194.04,206.08,187.56,194.58,183.38,181.84,177.81,180.72,181.96,183.33,186.46,185.94,183.78,173.87,183.43,181.68,186.24,187.05,Pep256,ErbB4-pY1150,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,SOCS3,YES1,
228.38,184.43,227.41,183.36,208.96,184.67,207.02,187.47,197.32,172.78,192.24,180.33,179.33,183.29,186.1,187.36,188.49,188.57,182.62,189.28,188.69,184.63,185.94,180.95,Pep256,ErbB4-pY1150,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,VAV2,SOCS2,
174.91,183.4,176.07,175.18,182.58,176.27,177.4,183.05,177.69,183.59,178.89,183.64,176.11,182.85,182,180.1,179.69,183.53,181.67,183.47,175.19,182.07,176.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216.66,232.17,217.86,209.98,206.95,210.16,194.62,194.82,191.7,196.08,196.74,199.6,191.66,206.76,190.85,188.11,195.82,191.44,189.64,189.9,207.14,195.27,206.96,212.43,Pep257,ErbB3-pY789,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,PIK3R1-N,ZAP70-C,
207.51,196.4,190.25,192.42,185.58,184.27,184.03,191.58,186.28,185.4,192.04,189.55,198.72,191.84,184.22,186.68,194.58,187.49,185.69,180.91,193.35,188.75,190.5,210.18,Pep257,ErbB3-pY789,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,BLK,SRC,
243.21,180.99,215.4,179.92,215.17,171.62,202.56,172.43,192.57,180.41,192.54,190.49,189.04,183.95,189.29,184.51,188.35,193.28,183.96,188.83,188.9,191.62,183.31,192.24,Pep257,ErbB3-pY789,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,PIK3R1-C,VAV1,
212.05,186.83,202.22,183.32,193.06,183.13,185.85,186.38,196.64,182.79,189.77,178.03,189.03,180.79,184.4,185.26,186.92,185.04,176.12,183.56,186.47,187.24,194.6,185.04,Pep257,ErbB3-pY789,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,CRK,TXN,
189.37,186.77,183.84,178.54,182.51,175.6,189.54,193.87,186.92,186.56,191.15,182.25,189.41,192.58,175.68,186.8,188.03,183.8,181.66,183.81,190.26,177.65,184.48,191.97,Pep257,ErbB3-pY789,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,PLCG1-N,FGR,
185.42,192.76,190.06,183.83,179.56,187.68,185.96,185,184.84,192.11,185.44,193.56,188.03,188.32,180.02,188.03,186.41,187.7,192.59,188.61,179.55,185.59,196.57,187.92,Pep257,ErbB3-pY789,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,ITK,GRB2,
216.79,179.6,205.32,183.24,186.05,186.13,200.1,184.49,184.1,179.75,186.84,194.16,178.28,189.09,187.72,184.66,180.35,186.05,180,176.31,188.8,188.71,186.93,190.9,Pep257,ErbB3-pY789,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,PLCG1-NC,VAV3,
201.64,187.45,192.53,192.88,180.23,177.27,184.64,188.92,182.41,191.53,185.22,187.96,180.03,185.87,180.74,187,185.02,186.57,178.53,179.11,185.06,189.75,193.83,177.78,Pep257,ErbB3-pY789,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,SYK-C,TNS1,
193.15,198.45,190.84,185.2,170.92,222.51,188.83,205.72,181.31,204.52,183.08,194.43,184.39,184.88,185.09,190.18,189.04,184.06,189.46,184.8,178.17,177.25,180.77,199.53,Pep257,ErbB3-pY789,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,TNS3,PIK3R1-NC,
192.05,178.89,184.48,185.71,234.12,176.22,209.62,186.43,205.8,184.66,195.08,184.39,187.07,181.23,193.78,189.67,190.48,187.67,184.27,184.33,186.45,189.83,186.92,179.11,Pep257,ErbB3-pY789,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,PTPN11-N,NCK2,
