306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,
192.44,186.26,175.5,176.83,174.3,172.91,178.53,169.22,144.89,173.7,175.73,166.13,177.19,172.97,179.21,164.75,179.21,173.78,173.76,175.01,176.24,171.54,182.21,180.82,Pep615,ErbB1-pY1125,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,,
180.4,216.56,174.3,190.7,167.55,187.75,167.77,187.9,170.38,178.21,171.69,173.27,171.58,174.28,169.37,176.03,166.45,167.65,174.7,176.6,173.31,168.04,177.35,176.12,Pep615,ErbB1-pY1125,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,,
190.98,182.56,181.86,181.41,178.94,174.1,181.65,174.14,180.25,172.71,174.8,168.38,176.72,163.91,176.98,174.38,179.4,163.98,182.51,172.21,177.19,178.37,178.08,173.18,Pep615,ErbB1-pY1125,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,,
184.33,201.69,187.21,195.72,185.3,194.23,191.04,196.17,190.78,196.9,193,185.1,189.6,174.21,187.33,183.7,183.58,190.51,189.22,189.13,191.03,186.21,184.11,177.78,Pep615,ErbB1-pY1125,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,,
173.58,183.36,166.57,179.15,169.11,183.66,169.32,165.35,180.62,183.5,156.44,184.13,175.85,169.99,155.42,184.14,182.14,172.4,182.73,188.2,180.37,183.77,194.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.06,201.58,208.57,188.21,197.91,192.71,207.96,193.48,193.97,198.19,188.25,198.98,190.68,186.78,193.29,184.91,192.83,195.29,195.86,195.83,193.12,197.96,199.36,208.68,Pep616,ErbB3-pY1199,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,,
195.18,199.69,198.61,190.64,194.95,188.43,198.44,201.42,193.43,199.7,201.91,188.35,194.37,203.49,192.1,199.32,190.31,197.28,196.69,195.19,199.64,202.82,203.59,195.23,Pep616,ErbB3-pY1199,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,,
200.81,201.73,188.51,193.94,186.43,190.52,188.08,192.64,190.3,186.24,194.85,191.94,200.88,193.54,196.25,199.71,194.64,191,214.71,194.5,195.58,197.14,195.14,188.16,Pep616,ErbB3-pY1199,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,,
187.92,185.53,206.19,189.17,196.46,186.96,193.3,195.87,176.88,172.42,202.81,194.5,194.15,183.56,188.63,193.74,199.07,193.88,199.57,188.84,195.7,192.76,195.7,191.48,Pep616,ErbB3-pY1199,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,,
189.55,193.63,192.67,196.1,188.84,184.52,189.78,196.16,188.27,183.49,186.97,198.01,190.68,188.21,197.5,188.46,189.44,189.97,190.18,187.27,194.69,200.57,198.21,195.16,Pep616,ErbB3-pY1199,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,,
212.2,197.31,204.9,193.09,192.26,184.35,193.4,192.9,200.41,191.91,184.96,194.28,189.7,199.67,196.04,195.29,189.52,191.2,198.81,194.2,189.78,192.77,193.65,193.22,Pep616,ErbB3-pY1199,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,,
192.61,205.14,191.81,185.56,189.76,199.94,189.33,193.7,200.26,186,189.44,185.82,192.11,189.46,188.58,191.37,201.02,187.69,192.95,194.3,196.35,192.62,191.1,198.51,Pep616,ErbB3-pY1199,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,,
189.77,204.19,191.22,192.83,191.91,189.25,194.84,192.06,195.46,186.57,197.08,192,193.57,195.11,194.38,191.29,195.06,196.17,190.79,192.85,187.42,186.69,195.48,190.43,Pep616,ErbB3-pY1199,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,,
219.02,186.36,198.01,187.54,191.96,188.2,199.65,181.03,192.13,190.13,187.69,180.08,189.59,186.06,193.23,192.83,195.16,195.74,194.4,198.64,175.25,194.75,194.42,197.96,Pep616,ErbB3-pY1199,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,,
201.25,187.84,194.83,195.9,193.54,196.26,188.16,187.33,191.79,190.27,173.27,194.33,184.49,188.88,191.83,198,197.13,191.01,188.03,193.56,194.33,193.4,193.96,192.89,Pep616,ErbB3-pY1199,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,,
201.31,184.35,187.53,185.4,187.24,190.25,197.12,185.75,191.96,188.03,190.08,195.4,195.53,185.52,197.3,184.99,200.32,194.01,193.01,185.69,188.46,195.16,192.05,206.45,Pep616,ErbB3-pY1199,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,,
195.32,184.74,188.96,183.27,197.61,187.3,188.3,196.29,194.96,192.55,187.4,194.2,202.14,190.17,192.54,195.98,194.74,188.93,195.04,190.78,181.64,193.6,194.93,183.14,Pep616,ErbB3-pY1199,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,,
187.76,179.26,195.67,181.11,188.82,176.03,186.74,185.17,182.16,193.96,191.49,187.76,183.46,182.06,191.97,192.65,190.06,189.89,188.59,191.05,191.8,185.84,188.5,205.28,Pep616,ErbB3-pY1199,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,,
183.25,197.72,183.5,190.26,183.86,191.28,194.02,191.55,195.67,194.84,191.68,194.39,191.41,193.96,190.74,192.87,188.39,193.08,193.06,192.98,190.12,194.48,196.19,200,Pep616,ErbB3-pY1199,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,,
195.06,195.9,190.5,185.78,185.49,191.28,189.07,193.47,189.71,194.27,196.88,194.22,193.2,194.04,191.78,193.1,192.44,185.78,189.7,178.47,193.02,194.05,202.62,202.58,Pep616,ErbB3-pY1199,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,,
202.47,199.61,201.57,206.05,200.95,207.09,207.88,208.34,199.65,207.39,198.04,199.43,196.3,184.48,198.83,202.27,201.32,201.5,194.25,194.87,197.7,196.17,202.35,207.28,Pep616,ErbB3-pY1199,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,,
201.58,208.57,188.21,197.91,192.71,207.96,193.48,193.97,198.19,188.25,198.98,190.68,186.78,193.29,184.91,192.83,195.29,195.86,195.83,193.12,197.96,199.36,208.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186.86,167.61,178.92,180.64,175.13,170.48,183.55,179.14,178.21,176.97,173.6,180.02,173,170.99,174.06,171.37,181.82,174.2,176.52,176.38,181.97,179.04,180.2,193.87,Pep617,ErbB4-pY664,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,,
167.91,184.86,169.19,176.82,174.55,176.44,176.52,178.84,178.49,173.08,176.23,179.17,180.09,167.13,176.49,174,177.83,182.48,175.24,172.88,181.35,173.81,175.61,183.25,Pep617,ErbB4-pY664,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,,
181.63,169.29,169.54,170.43,171.76,176.21,174.35,169.23,168.73,176.22,166.61,176.94,182.47,168.22,174.99,179,177.04,172.8,171.8,169.4,167.92,172.93,173.24,162.16,Pep617,ErbB4-pY664,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,,
185.96,188.09,178.81,179.04,180.45,180.89,170.34,176.05,172.68,166.2,171.65,179.09,165.23,172.65,171.34,177.35,171.29,164.54,181.09,170.68,173.66,179.34,180.57,178.64,Pep617,ErbB4-pY664,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,,
172.55,176.01,170.29,172.85,165.1,177.86,170.19,173.23,167.47,179.25,167.9,167.82,171.11,174.61,172.42,168.02,171.32,169.85,177.75,165.69,178.06,171.46,176.61,179.05,Pep617,ErbB4-pY664,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,,
190.86,189.73,180.39,180.04,180.12,177.88,169.2,169.53,177.87,175.97,167.1,171.24,173.61,179.68,173.42,170.16,172.13,176.61,183.23,171.83,169.68,187.21,176.47,180.11,Pep617,ErbB4-pY664,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,,
171.34,169.2,169.13,161.88,178,165.76,173.48,167.59,178.25,171.01,174.27,170.4,175.86,174.44,174.98,167.78,173.12,175.47,160.56,176.3,175.86,174.64,171.84,178.53,Pep617,ErbB4-pY664,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,,
188.63,184.66,178.35,173.5,175.71,174.76,177.77,168.16,174.21,168.79,172.63,156.4,173.23,168.17,173.13,179.05,169.99,175.24,170.13,172.84,172.19,171.42,178.69,174.81,Pep617,ErbB4-pY664,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,,
218.88,234.43,188.52,210.77,172.61,200.15,179.99,186.42,175.58,184.38,173.13,183.01,172.7,177.17,167.25,175.16,170.23,175.58,176.49,172.91,172.58,183.79,175.91,189.71,Pep617,ErbB4-pY664,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,,
200.99,182.55,176.23,179.54,175.05,172.02,176.22,181.32,178.55,176.12,173.22,170.64,175.6,167.88,177.69,178.88,173.82,171.2,177.93,173.26,175.32,171.51,178.19,174.51,Pep617,ErbB4-pY664,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,,
189.05,177.37,184.66,174.86,171.55,167.04,174.12,172.71,171.28,180.65,175.72,167.36,179.12,167.66,175.7,167.67,169.88,175.28,167.33,173.5,180.38,171.23,171.97,184.15,Pep617,ErbB4-pY664,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,,
182.97,178.04,177.1,171.02,174.99,167.52,177.17,178.82,172.02,171.93,173.56,178.88,175.45,182.2,178.22,174.68,177.84,162.95,164.45,163.53,171.92,174.88,173.86,175.81,Pep617,ErbB4-pY664,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,,
172.62,179.9,217.44,178.9,170.73,171.18,171.69,174.87,167.15,171.51,170.47,171.28,177.18,173.26,175.05,168.3,179.51,175.05,172.93,173.56,180.28,180.41,181.63,171.26,Pep617,ErbB4-pY664,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,,
250.24,182.39,219.94,179.9,206.78,171.63,193.74,172.84,179.71,165.65,178.88,169.06,180.51,176.84,174.78,176.79,177.51,168.85,170.72,178.74,171.73,170.7,176.28,180.88,Pep617,ErbB4-pY664,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,,
169.1,205.43,173.03,191.19,167.16,187.27,178.2,182.28,176.81,172.61,175.19,183.13,171.5,171.25,169.19,178.89,185.28,166.88,175.6,173.66,180.2,176.64,173.67,182.68,Pep617,ErbB4-pY664,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,,
180.71,172.87,177.14,188.38,174.58,178.63,187.04,193.57,190.04,186.89,181.86,184.45,183.5,178.67,187.46,185.12,184.47,184.74,180.03,183.03,187.61,183.97,185.84,174.39,Pep617,ErbB4-pY664,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,,
167.61,178.92,180.64,175.13,170.48,183.55,179.14,178.21,176.97,173.6,180.02,173,170.99,174.06,171.37,181.82,174.2,176.52,176.38,181.97,179.04,180.2,193.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225.59,186.91,201.74,178.34,193.78,180.56,186.25,183.79,192.87,175.74,193.28,183.19,186.02,181.75,176.16,185.06,190.23,196.26,186.83,190.6,196.82,185.5,192.76,188.5,Pep618,ErbB1-pY891,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,,
195.58,200.28,178.65,194.47,184.35,189.66,182.41,184.61,185.84,181.19,180.59,180.31,183.99,182.04,176.27,176.99,181.49,182.04,188.37,183.54,190.42,188.35,190.85,198.14,Pep618,ErbB1-pY891,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,,
188.36,210.77,187.65,189.82,180.96,190,183.41,192.64,181.95,184.06,180.65,183.95,178.87,191.97,179.68,182.79,181.34,187.98,185.89,192.94,194.95,182.82,186.17,190.93,Pep618,ErbB1-pY891,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,,
195.8,186.42,181.77,173.44,182.09,183.89,180.72,181.15,179.57,186.19,183.93,179.48,175.79,175.24,187.39,183.78,186.38,188.27,184.1,181.55,176.22,197.06,179.54,188.09,Pep618,ErbB1-pY891,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,,
190.58,186.48,186.79,184.62,175.38,186.76,174.6,188.74,186.29,188.65,179.69,175.06,187.47,197.09,188.34,185.09,191.67,179.62,182.22,181.05,191.23,181.31,186.69,187.7,Pep618,ErbB1-pY891,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,,
219.2,209.47,200.94,186.8,189.32,190.02,188.24,186.21,185.98,186.39,192.29,193.39,183.88,177.01,184.9,182.17,182.82,191.2,191.61,195.68,186.83,189.79,188.8,182.55,Pep618,ErbB1-pY891,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,,
193.97,178.24,174.61,188.93,177.12,190.45,179.73,185.76,190.44,185.68,181.03,176.86,188.23,183.34,185.66,186.64,195.96,183.65,183.27,193.86,183.62,182.24,185.03,190.78,Pep618,ErbB1-pY891,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,FGR,GRAP2,,
198.23,194.85,187.89,185.74,187.22,182.96,185.11,189.54,179.45,181.18,180.04,188.35,191.86,179.64,183.12,171.79,190.84,187.8,177.65,182.15,181.42,182.25,185.66,186.38,Pep618,ErbB1-pY891,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,TNS1,PLCG1-C,,
237.52,239.61,211.01,216.79,189.72,207.83,187.82,197.79,178.94,183.18,183.29,181.72,182.7,172.91,187.75,175.3,181.45,186.31,190.79,184.15,184.01,190.76,184.09,177.87,Pep618,ErbB1-pY891,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,PIK3R1-NC,PTPN11-NC,,
234.36,209.39,224.57,194.85,211.81,180.28,210.18,186.48,199.99,190.34,194.41,194.86,194.72,183.74,195.24,183.76,182.49,194.51,185.48,179.83,187.12,180.2,183.53,188.36,Pep618,ErbB1-pY891,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,SOCS6,PTPN11-C,,
233.43,183.86,200.68,174.33,190.92,178.52,194.19,188.44,183.27,178.82,180.56,179.29,189.43,186.12,200.73,175.01,176.79,182.22,189.48,179.33,190.33,176.64,189.44,187.33,Pep618,ErbB1-pY891,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,BLK,VAV1,,
191.03,198.18,188.27,191.64,181.3,192.15,188.58,182.17,180.99,177.77,186.79,170.78,181.74,190.73,185.24,185.81,184.36,177.22,186.9,184.05,181.29,182.98,184.06,172.64,Pep618,ErbB1-pY891,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,,
216.3,185.55,194.22,188.59,197.45,179.9,184.19,182.03,176.23,178.45,191.41,187.47,184.6,183.22,184.16,180.65,188.54,182.58,183.29,194.08,190.64,185.3,185.49,192.25,Pep618,ErbB1-pY891,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,,
244.87,205.3,225.17,208.85,206.63,183.38,199.6,163.7,190.78,181.91,180.77,184.05,185.63,184.63,181.74,186.7,185.19,178.18,189.89,182.55,190.01,185.96,192.07,182.48,Pep618,ErbB1-pY891,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,,
185.93,194.54,187.82,185.26,186.22,188.21,177.76,192.44,184.03,184.15,185.71,184.06,180.48,177.78,184.01,179.14,184.27,182.47,182.59,178.82,190.3,187.15,189,188.42,Pep618,ErbB1-pY891,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,,
191.39,202.76,191.99,200.04,185.96,190.29,183.46,190.99,193.24,196.65,186.96,191.82,191.47,199.19,194.79,198.6,194.05,192.37,197.74,200.12,195.16,191.99,197.03,192.19,Pep618,ErbB1-pY891,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,,
