306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,5,5,2.5,2.5,1.25,1.25,0.625,0.625,0.3125,0.3125,0.15625,0.15625,0.078125,0.078125,0.0390625,0.0390625,0.01953125,0.01953125,0.009765625,0.009765625,0.004882813,0.004882813,,
132.45,139.27,134.92,136.74,138.78,140.64,140.86,137.08,139.8,134.97,141.53,152.38,135.08,146.18,143.24,148.42,134.55,140.33,141.13,143.44,139.91,128.22,143.95,130.41,Pep95,ErbB4-pY875-18mer,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,SOCS2,NCK1,,
125.46,139.8,135.95,140.49,133.68,135.91,140.76,126.67,139.68,137.6,132.6,137.17,140.06,141.97,142.77,148.5,141.67,135.57,135.65,145.59,140.71,141.85,139.12,147.87,Pep95,ErbB4-pY875-18mer,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,CRK,VAV3,,
145.36,138.75,134.55,139.72,132.23,134.95,137.35,143.61,134.05,138.9,145.3,142.28,142.9,132.36,134.9,135.31,143.53,144.99,132.41,136.21,142.39,143.3,138.15,138.67,Pep95,ErbB4-pY875-18mer,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,PTPN11-N,LYN,,
118.01,139.48,136.48,141.3,141.17,138.6,142.16,144.61,139.32,139.93,140.46,135.98,147.22,145.29,138.13,140.82,149.49,133.26,148.12,135.97,154.97,149.72,143.13,150.19,Pep95,ErbB4-pY875-18mer,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,VAV2,SOCS5,,
140.92,141.64,150.64,155.25,143.22,143.81,149.41,150.82,152.49,141.51,145.62,150.52,146.53,149.05,144.94,151.74,141.56,149.13,148.44,158.42,154.49,161.34,145.69,148.02,Pep95,ErbB4-pY875-18mer,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,SYK-C,NCK2,,
135.88,147.66,135.29,147.76,134.3,147.32,134.48,145.04,140.87,139.88,146.42,146.11,145.44,139.42,143.56,136.04,151.76,142.28,144.77,151.06,144.52,140.27,155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176.83,143.49,157.84,137.72,158.31,155.97,156.56,146.74,162.85,152.91,144.86,152.23,145.01,142.38,150.21,140.42,154.35,147.66,155.46,145.17,159.19,148.13,159.23,164.93,Pep98,ErbB4-pY984-18mer,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,PIK3R1-N,TXN,,
164.14,144.51,143.48,139.85,149.43,143.75,156.26,147.01,155.28,153.18,138.21,159.92,144.3,148.64,156.55,141.01,149.92,155.27,155.18,154.83,140.82,150.83,146.49,154.95,Pep98,ErbB4-pY984-18mer,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,TEC,TNS3,,
159.06,143.73,140.41,144.58,140,140.8,150.86,148.23,156.99,145.65,151.7,149.64,153.25,143.32,141.48,149.92,145.14,158.86,151.44,143.61,141.66,148.55,158.15,143.53,Pep98,ErbB4-pY984-18mer,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,PIK3R1-C,SRC,,
150.42,130.66,143.81,134.88,144.83,144.94,147.07,143.1,152.18,140.95,145.32,148.75,139.83,147.98,149.09,139.48,153.87,143.27,139.26,142.47,144.52,149.52,149.55,147.77,Pep98,ErbB4-pY984-18mer,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,SOCS1,SOCS3,,
151.4,124.11,146.05,143.29,141.98,129.62,146.56,151.39,141.49,154.82,145.39,143.31,142.19,149.03,142.71,149.33,154.26,144.6,151.26,152.21,138.07,150.39,145.21,148,Pep98,ErbB4-pY984-18mer,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,ZAP70-C,GRB2,,
177.68,168.66,180.48,160.19,162.58,156.8,156.95,148.09,153.17,136.59,146.17,147.24,146.04,149,144.44,147.67,148.34,141.77,141.8,138.32,153.62,150.25,148.07,133.54,Pep98,ErbB4-pY984-18mer,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,PLCG1-NC,PLCG1-N,,
